127.0.0.1 - - [21/Feb/2025:11:38:10 +0900] "GET / HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:11 +0900] "GET / HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:11 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:11 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:11 +0900] "GET /resources/js/daum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:11 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:14 +0900] "GET /member/signin HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:14 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:26 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:26 +0900] "GET / HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:26 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /admin/index HTTP/1.1" 200 32900
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /admin/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /admin/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /admin/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /admin/img/undraw_posting_photo.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:28 +0900] "GET /admin/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /admin/goods/list HTTP/1.1" 200 9372
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_5418148c-1590-411c-81fe-a30b7ae71962_whiteHat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_ef8b1303-c9a6-4605-b9d3-274ef26185eb_la.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_43970c33-08ea-45e9-a642-7d7c64ff6406_silverRing.png HTTP/1.1" 200 16051
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_87f93ac4-abe8-4bfc-8fe5-ffc7adf394d8_chicago.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_b2dd7261-9560-4eda-a728-ee3348a37e47_ny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_c380206e-b794-419c-ada8-b9235de54530_redSuitWomen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_d3a3b273-ac96-46f3-aa37-90313d5f875e_123.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_60c29c95-431f-463d-a7bc-b470d5bdf392_silverRing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:30 +0900] "GET /imgUpload/2025/02/18/s/s_05cc5eab-6f9d-4324-b6e9-b28b433ebd74_loafer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:32 +0900] "GET /admin/goods/view?n=23 HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:32 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:32 +0900] "GET /resources/js/viewJS_01.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:37 +0900] "GET /admin/goods/list HTTP/1.1" 200 9372
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:37 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:40 +0900] "GET /admin/goods/view?n=21 HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:40 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:41 +0900] "GET /admin/goods/modify?n= HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:44 +0900] "GET /admin/shop/orederList HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:46 +0900] "GET /admin/goods/register HTTP/1.1" 200 8113
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:46 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:46 +0900] "GET /resources/js/changeImgFunction.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:46 +0900] "GET /resources/js/ckeditorConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:46 +0900] "GET /resources/js/jsonDrop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:47 +0900] "GET / HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:47 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:49 +0900] "GET /shop/list?c=1&1=1 HTTP/1.1" 400 950
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:51 +0900] "GET /member/signout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:51 +0900] "GET / HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:51 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:52 +0900] "GET /member/signin HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:52 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:55 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:55 +0900] "GET / HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:55 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:58 +0900] "GET / HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:38:58 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:00 +0900] "GET /shop/list?c=1&1=1 HTTP/1.1" 400 950
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:04 +0900] "GET /shop/orderList HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:06 +0900] "GET /member/signout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:06 +0900] "GET / HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:06 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:07 +0900] "GET / HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:08 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:48 +0900] "GET / HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:49 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:49 +0900] "GET /resources/js/daum.js HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:49 +0900] "GET /resources/css/style.css HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:52 +0900] "GET /member/signin HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:52 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:56 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:56 +0900] "GET / HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:56 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:39:59 +0900] "GET /shop/cartList HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:40:00 +0900] "GET /shop/list?c=1&1=1 HTTP/1.1" 400 950
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:40:02 +0900] "GET / HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:40:02 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:40:03 +0900] "GET /member/signout HTTP/1.1" 302 -
