127.0.0.1 - - [06/Mar/2025:12:06:12 +0900] "GET / HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:13 +0900] "GET / HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:13 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:13 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:13 +0900] "GET /resources/js/daum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:13 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:16 +0900] "GET /member/signin HTTP/1.1" 200 7603
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:16 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "GET / HTTP/1.1" 200 12831
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "GET /img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "GET /img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:20 +0900] "GET /img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /shop/list?c=1&l=2 HTTP/1.1" 200 15906
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:23 +0900] "GET /resources/js/historyBack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /shop/list?c=101&l=2 HTTP/1.1" 200 16202
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:26 +0900] "GET /imgUpload/2025/02/27/s/s_35b0607f-483f-48e1-a6f1-be61e7341da6_Chicken%20Plate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /shop/list?c=202&l=2 HTTP/1.1" 200 16215
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:28 +0900] "GET /imgUpload/2025/02/27/s/s_e2a7e33e-25d8-4237-9178-ec5a4a6f58fa_Pork%20Salad%20Pasta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /shop/view?n=47 HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/js/replyDelete.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/js/stockBtn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/js/replyEdit.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/js/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /resources/js/reply.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:29 +0900] "GET /shop/view/replyList?n=47 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:34 +0900] "POST /shop/view/addCart HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /shop/cartList HTTP/1.1" 200 20214
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /imgUpload/2025/02/27/s/s_ddb030d1-b7a1-4eeb-a4b0-b2ec86b02347_Protein%20Shake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /imgUpload/2025/02/27/s/s_7d4dd242-4730-446f-94fd-c9d957d9da45_Beef%20Salad%20Pasta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:35 +0900] "GET /resources/js/cartlist.js HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /shop/list?c=403&l=2 HTTP/1.1" 200 16243
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:06:54 +0900] "GET /imgUpload/2025/02/27/s/s_7792444e-5ffb-4c23-b98c-c2d89a9dd816_A%20Bowl%20of%20Double%20Beef%20Wasabi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:01 +0900] "GET /shop/view?n=54 HTTP/1.1" 200 19097
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:01 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
